lambda,n_hidden,training_set_accuracy,validation_set_accuracy,test_set_accuracy,runs,time
0.0,50,72.445820433436538,64.935064935064929,68.571428571428569,77,0.0013140320777893066
0.1,50,73.993808049535602,62.337662337662337,70.0,84,0.0014072815577189127
0.2,50,75.541795665634666,64.935064935064929,68.571428571428569,84,0.0014177997907002767
0.30000000000000004,50,73.993808049535602,63.636363636363633,68.571428571428569,76,0.0013437350591023764
0.4,50,76.470588235294116,66.233766233766232,65.714285714285708,90,0.0015766342480977376
0.5,50,72.755417956656345,63.636363636363633,71.428571428571431,85,0.001462233066558838
0.6,50,73.065015479876166,66.233766233766232,68.571428571428569,83,0.0014538526535034179
0.7,50,73.374613003095973,64.935064935064929,68.571428571428569,86,0.0015428662300109863
0.7999999999999999,50,73.065015479876166,66.233766233766232,71.428571428571431,81,0.0013532161712646485
0.8999999999999999,50,73.374613003095973,63.636363636363633,68.571428571428569,84,0.001453733444213867
0.9999999999999999,50,73.374613003095973,67.532467532467535,71.428571428571431,82,0.0014361858367919922
0.5,10,68.730650154798766,71.428571428571431,65.714285714285708,98,0.0006806492805480957
0.5,20,70.278637770897831,66.233766233766232,65.714285714285708,95,0.0009316325187683106
0.5,30,70.588235294117652,68.831168831168839,64.285714285714292,83,0.000987414518992106
0.5,40,70.897832817337459,66.233766233766232,62.857142857142854,84,0.0012273510297139485
0.5,50,71.207430340557281,64.935064935064929,71.428571428571431,88,0.0014769832293192546
0.5,60,72.136222910216716,64.935064935064929,64.285714285714292,90,0.0017505168914794921
0.5,70,75.232198142414859,63.636363636363633,68.571428571428569,78,0.0017241994539896647
0.5,80,71.826625386996895,66.233766233766232,65.714285714285708,82,0.0020039836565653485
0.5,90,73.065015479876166,66.233766233766232,67.142857142857139,78,0.0039055307706197103
0.5,100,74.61300309597523,62.337662337662337,62.857142857142854,80,0.004077414671579997
